,VIXCLS,NFCI
2005-12-05,11.6,
2005-12-06,11.52,
2005-12-07,12.18,
2005-12-08,12.21,
2005-12-09,11.69,-0.57185
2005-12-12,11.47,
2005-12-13,11.11,
2005-12-14,10.48,
2005-12-15,10.73,
2005-12-16,10.68,-0.56685
2005-12-19,11.38,
2005-12-20,11.19,
2005-12-21,10.81,
2005-12-22,10.29,
2005-12-23,10.27,-0.56533
2005-12-27,11.57,
2005-12-28,11.35,
2005-12-29,11.61,
2005-12-30,12.07,-0.56703
2006-01-03,11.14,
2006-01-04,11.37,
2006-01-05,11.31,
2006-01-06,11.0,-0.57323
2006-01-09,11.13,
2006-01-10,10.86,
2006-01-11,10.94,
2006-01-12,11.2,
2006-01-13,11.23,-0.58312
2006-01-17,11.91,
2006-01-18,12.25,
2006-01-19,11.98,
2006-01-20,14.56,-0.5938
2006-01-23,13.93,
2006-01-24,13.31,
2006-01-25,12.87,
2006-01-26,12.42,
2006-01-27,11.97,-0.60603
2006-01-30,12.39,
2006-01-31,12.95,
2006-02-01,12.36,
2006-02-02,13.23,
2006-02-03,12.96,-0.61685
2006-02-06,13.04,
2006-02-07,13.59,
2006-02-08,12.83,
2006-02-09,13.12,
2006-02-10,12.87,-0.62542
2006-02-13,13.35,
2006-02-14,12.25,
2006-02-15,12.31,
2006-02-16,11.48,
2006-02-17,12.01,-0.63201
2006-02-21,12.41,
2006-02-22,11.88,
2006-02-23,11.87,
2006-02-24,11.46,-0.63612
2006-02-27,11.59,
2006-02-28,12.34,
2006-03-01,11.54,
2006-03-02,11.72,
2006-03-03,11.96,-0.63728
2006-03-06,12.74,
2006-03-07,12.66,
2006-03-08,12.32,
2006-03-09,12.68,
2006-03-10,11.85,-0.63681
2006-03-13,11.37,
2006-03-14,10.74,
2006-03-15,11.35,
2006-03-16,11.98,
2006-03-17,12.12,-0.63545
2006-03-20,11.79,
2006-03-21,11.62,
2006-03-22,11.21,
2006-03-23,11.17,
2006-03-24,11.19,-0.63389
2006-03-27,11.46,
2006-03-28,11.58,
2006-03-29,10.95,
2006-03-30,11.57,
2006-03-31,11.39,-0.63131
2006-04-03,11.57,
2006-04-04,11.14,
2006-04-05,11.13,
2006-04-06,11.45,
2006-04-07,12.26,-0.62912
2006-04-10,12.19,
2006-04-11,13.0,
2006-04-12,12.76,
2006-04-13,12.38,
2006-04-14,,-0.62673
2006-04-17,12.58,
2006-04-18,11.4,
2006-04-19,11.32,
2006-04-20,11.64,
2006-04-21,11.59,-0.62491
2006-04-24,11.75,
2006-04-25,11.75,
2006-04-26,11.76,
2006-04-27,11.84,
2006-04-28,11.59,-0.62211
2006-05-01,12.54,
2006-05-02,11.99,
2006-05-03,11.99,
2006-05-04,11.86,
2006-05-05,11.62,-0.61679
2006-05-08,12.0,
2006-05-09,11.99,
2006-05-10,11.78,
2006-05-11,12.49,
2006-05-12,14.19,-0.60942
2006-05-15,13.57,
2006-05-16,13.35,
2006-05-17,16.26,
2006-05-18,16.99,
2006-05-19,17.18,-0.5979
2006-05-22,17.72,
2006-05-23,18.26,
2006-05-24,17.36,
2006-05-25,15.5,
2006-05-26,14.26,-0.58438
2006-05-30,18.66,
2006-05-31,16.44,
2006-06-01,14.52,
2006-06-02,14.32,-0.57
2006-06-05,16.65,
2006-06-06,17.34,
2006-06-07,17.8,
2006-06-08,18.35,
2006-06-09,18.12,-0.55616
2006-06-12,20.96,
2006-06-13,23.81,
2006-06-14,21.46,
2006-06-15,15.9,
2006-06-16,17.25,-0.54359
2006-06-19,17.83,
2006-06-20,16.69,
2006-06-21,15.52,
2006-06-22,15.88,
2006-06-23,15.89,-0.53459
2006-06-26,15.62,
2006-06-27,16.4,
2006-06-28,15.79,
2006-06-29,13.03,
2006-06-30,13.08,-0.53045
2006-07-03,13.05,
2006-07-05,14.15,
2006-07-06,13.65,
2006-07-07,13.97,-0.53104
2006-07-10,14.02,
2006-07-11,13.14,
2006-07-12,14.49,
2006-07-13,17.79,
2006-07-14,18.05,-0.53687
2006-07-17,18.64,
2006-07-18,17.74,
2006-07-19,15.55,
2006-07-20,16.21,
2006-07-21,17.4,-0.54709
2006-07-24,14.98,
2006-07-25,14.85,
2006-07-26,14.62,
2006-07-27,14.94,
2006-07-28,14.33,-0.56076
2006-07-31,14.95,
2006-08-01,15.05,
2006-08-02,14.34,
2006-08-03,14.46,
2006-08-04,14.34,-0.57505
2006-08-07,15.23,
2006-08-08,15.23,
2006-08-09,15.2,
2006-08-10,14.46,
2006-08-11,14.3,-0.58833
2006-08-14,14.26,
2006-08-15,13.42,
2006-08-16,12.41,
2006-08-17,12.24,
2006-08-18,11.64,-0.59893
2006-08-21,12.22,
2006-08-22,12.19,
2006-08-23,12.4,
2006-08-24,12.4,
2006-08-25,12.31,-0.60581
2006-08-28,12.18,
2006-08-29,12.28,
2006-08-30,12.22,
2006-08-31,12.31,
2006-09-01,11.96,-0.60869
2006-09-05,12.63,
2006-09-06,13.74,
2006-09-07,13.88,
2006-09-08,13.16,-0.60869
2006-09-11,12.99,
2006-09-12,11.92,
2006-09-13,11.18,
2006-09-14,11.55,
2006-09-15,11.76,-0.60748
2006-09-18,11.78,
2006-09-19,11.98,
2006-09-20,11.39,
2006-09-21,12.25,
2006-09-22,12.59,-0.60684
2006-09-25,12.12,
2006-09-26,11.53,
2006-09-27,11.58,
2006-09-28,11.72,
2006-09-29,11.98,-0.60783
2006-10-02,12.57,
2006-10-03,12.24,
2006-10-04,11.86,
2006-10-05,11.98,
2006-10-06,11.56,-0.61136
2006-10-09,11.68,
2006-10-10,11.52,
2006-10-11,11.62,
2006-10-12,11.09,
2006-10-13,10.75,-0.61751
2006-10-16,11.09,
2006-10-17,11.73,
2006-10-18,11.34,
2006-10-19,10.9,
2006-10-20,10.63,-0.62417
2006-10-23,11.08,
2006-10-24,10.78,
2006-10-25,10.66,
2006-10-26,10.56,
2006-10-27,10.8,-0.63056
2006-10-30,11.2,
2006-10-31,11.1,
2006-11-01,11.51,
2006-11-02,11.42,
2006-11-03,11.16,-0.6343
2006-11-06,11.16,
2006-11-07,11.09,
2006-11-08,10.75,
2006-11-09,11.01,
2006-11-10,10.79,-0.63557
2006-11-13,10.86,
2006-11-14,10.5,
2006-11-15,10.31,
2006-11-16,10.16,
2006-11-17,10.05,-0.63408
2006-11-20,9.97,
2006-11-21,9.9,
2006-11-22,10.14,
2006-11-24,10.73,-0.63049
2006-11-27,12.3,
2006-11-28,11.62,
2006-11-29,10.83,
2006-11-30,10.91,
2006-12-01,11.66,-0.62616
2006-12-04,11.23,
2006-12-05,11.27,
2006-12-06,11.33,
2006-12-07,12.67,
2006-12-08,12.07,-0.62333
2006-12-11,10.71,
2006-12-12,10.65,
2006-12-13,10.18,
2006-12-14,9.97,
2006-12-15,10.05,-0.62391
2006-12-18,10.6,
2006-12-19,10.3,
2006-12-20,10.26,
2006-12-21,10.53,
2006-12-22,11.36,-0.62848
2006-12-26,11.26,
2006-12-27,10.64,
2006-12-28,10.99,
2006-12-29,11.56,-0.63701
2007-01-03,12.04,
2007-01-04,11.51,
2007-01-05,12.14,-0.64897
2007-01-08,12.0,
2007-01-09,11.91,
2007-01-10,11.47,
2007-01-11,10.87,
2007-01-12,10.15,-0.66222
2007-01-16,10.74,
2007-01-17,10.59,
2007-01-18,10.85,
2007-01-19,10.4,-0.67468
2007-01-22,10.77,
2007-01-23,10.34,
2007-01-24,9.89,
2007-01-25,11.22,
2007-01-26,11.13,-0.68421
2007-01-29,11.45,
2007-01-30,10.96,
2007-01-31,10.42,
2007-02-01,10.31,
2007-02-02,10.08,-0.68796
2007-02-05,10.55,
2007-02-06,10.65,
2007-02-07,10.32,
2007-02-08,10.44,
2007-02-09,11.1,-0.68642
2007-02-12,11.61,
2007-02-13,10.34,
2007-02-14,10.23,
2007-02-15,10.22,
2007-02-16,10.02,-0.67851
2007-02-20,10.24,
2007-02-21,10.2,
2007-02-22,10.18,
2007-02-23,10.58,-0.66577
2007-02-26,11.15,
2007-02-27,18.31,
2007-02-28,15.42,
2007-03-01,15.82,
2007-03-02,18.61,-0.64981
2007-03-05,19.63,
2007-03-06,15.96,
2007-03-07,15.24,
2007-03-08,14.29,
2007-03-09,14.09,-0.63514
2007-03-12,13.99,
2007-03-13,18.13,
2007-03-14,17.27,
2007-03-15,16.43,
2007-03-16,16.79,-0.62286
2007-03-19,14.59,
2007-03-20,13.27,
2007-03-21,12.19,
2007-03-22,12.93,
2007-03-23,12.95,-0.61452
2007-03-26,13.16,
2007-03-27,13.48,
2007-03-28,14.98,
2007-03-29,15.14,
2007-03-30,14.64,-0.60866
2007-04-02,14.53,
2007-04-03,13.46,
2007-04-04,13.24,
2007-04-05,13.23,
2007-04-06,,-0.60492
2007-04-09,13.14,
2007-04-10,12.68,
2007-04-11,13.49,
2007-04-12,12.71,
2007-04-13,12.2,-0.6013
2007-04-16,11.98,
2007-04-17,12.14,
2007-04-18,12.42,
2007-04-19,12.54,
2007-04-20,12.07,-0.59688
2007-04-23,13.04,
2007-04-24,13.12,
2007-04-25,13.21,
2007-04-26,12.79,
2007-04-27,12.45,-0.5903
2007-04-30,14.22,
2007-05-01,13.51,
2007-05-02,13.08,
2007-05-03,13.09,
2007-05-04,12.91,-0.58147
2007-05-07,13.15,
2007-05-08,13.21,
2007-05-09,12.88,
2007-05-10,13.6,
2007-05-11,12.95,-0.57287
2007-05-14,13.96,
2007-05-15,14.01,
2007-05-16,13.5,
2007-05-17,13.51,
2007-05-18,12.76,-0.56379
2007-05-21,13.3,
2007-05-22,13.06,
2007-05-23,13.24,
2007-05-24,14.08,
2007-05-25,13.34,-0.5551
2007-05-29,13.53,
2007-05-30,12.83,
2007-05-31,13.05,
2007-06-01,12.78,-0.54846
2007-06-04,13.29,
2007-06-05,13.63,
2007-06-06,14.87,
2007-06-07,17.06,
2007-06-08,14.84,-0.54525
2007-06-11,14.71,
2007-06-12,16.67,
2007-06-13,14.73,
2007-06-14,13.64,
2007-06-15,13.94,-0.54138
2007-06-18,13.42,
2007-06-19,12.85,
2007-06-20,14.67,
2007-06-21,14.21,
2007-06-22,15.75,-0.536
2007-06-25,16.65,
2007-06-26,18.89,
2007-06-27,15.53,
2007-06-28,15.54,
2007-06-29,16.23,-0.52408
2007-07-02,15.4,
2007-07-03,14.92,
2007-07-05,15.48,
2007-07-06,14.72,-0.49969
2007-07-09,15.16,
2007-07-10,17.57,
2007-07-11,16.64,
2007-07-12,15.54,
2007-07-13,15.15,-0.45545
2007-07-16,15.59,
2007-07-17,15.63,
2007-07-18,16.0,
2007-07-19,15.23,
2007-07-20,16.95,-0.38742
2007-07-23,16.81,
2007-07-24,18.55,
2007-07-25,18.1,
2007-07-26,20.74,
2007-07-27,24.17,-0.29364
2007-07-30,20.87,
2007-07-31,23.52,
2007-08-01,23.67,
2007-08-02,21.22,
2007-08-03,25.16,-0.18133
2007-08-06,22.94,
2007-08-07,21.56,
2007-08-08,21.45,
2007-08-09,26.48,
2007-08-10,28.3,-0.06037
2007-08-13,26.57,
2007-08-14,27.68,
2007-08-15,30.67,
2007-08-16,30.83,
2007-08-17,29.99,0.05878
2007-08-20,26.33,
2007-08-21,25.25,
2007-08-22,22.89,
2007-08-23,22.62,
2007-08-24,20.72,0.15434
2007-08-27,22.72,
2007-08-28,26.3,
2007-08-29,23.81,
2007-08-30,25.06,
2007-08-31,23.38,0.20654
2007-09-04,22.78,
2007-09-05,24.58,
2007-09-06,23.99,
2007-09-07,26.23,0.22251
2007-09-10,27.38,
2007-09-11,25.27,
2007-09-12,24.96,
2007-09-13,24.76,
2007-09-14,24.92,0.19834
2007-09-17,26.48,
2007-09-18,20.35,
2007-09-19,20.03,
2007-09-20,20.45,
2007-09-21,19.0,0.14078
2007-09-24,19.37,
2007-09-25,18.6,
2007-09-26,17.63,
2007-09-27,17.0,
2007-09-28,18.0,0.07486
2007-10-01,17.84,
2007-10-02,18.49,
2007-10-03,18.8,
2007-10-04,18.44,
2007-10-05,16.91,0.01369
2007-10-08,17.46,
2007-10-09,16.12,
2007-10-10,16.67,
2007-10-11,18.88,
2007-10-12,17.73,-0.02695
2007-10-15,19.25,
2007-10-16,20.02,
2007-10-17,18.54,
2007-10-18,18.5,
2007-10-19,22.96,-0.03382
2007-10-22,21.64,
2007-10-23,20.41,
2007-10-24,20.8,
2007-10-25,21.17,
2007-10-26,19.56,-0.00301
2007-10-29,19.87,
2007-10-30,21.07,
2007-10-31,18.53,
2007-11-01,23.21,
2007-11-02,23.01,0.06407
2007-11-05,24.31,
2007-11-06,21.39,
2007-11-07,26.49,
2007-11-08,26.16,
2007-11-09,28.5,0.16248
2007-11-12,31.09,
2007-11-13,24.1,
2007-11-14,25.94,
2007-11-15,28.06,
2007-11-16,25.49,0.27372
2007-11-19,26.01,
2007-11-20,24.88,
2007-11-21,26.84,
2007-11-23,25.61,0.3867
2007-11-26,28.91,
2007-11-27,26.28,
2007-11-28,24.11,
2007-11-29,23.97,
2007-11-30,22.87,0.48036
2007-12-03,23.61,
2007-12-04,23.79,
2007-12-05,22.53,
2007-12-06,20.96,
2007-12-07,20.85,0.54338
2007-12-10,20.74,
2007-12-11,23.59,
2007-12-12,22.47,
2007-12-13,22.56,
2007-12-14,23.27,0.5697
2007-12-17,24.52,
2007-12-18,22.64,
2007-12-19,21.68,
2007-12-20,20.58,
2007-12-21,18.47,0.55871
2007-12-24,18.6,
2007-12-26,18.66,
2007-12-27,20.26,
2007-12-28,20.74,0.51852
2007-12-31,22.5,
2008-01-02,23.17,
2008-01-03,22.49,
2008-01-04,23.94,0.47053
2008-01-07,23.79,
2008-01-08,25.43,
2008-01-09,24.12,
2008-01-10,23.45,
2008-01-11,23.68,0.42574
2008-01-14,22.9,
2008-01-15,23.34,
2008-01-16,24.38,
2008-01-17,28.46,
2008-01-18,27.18,0.40247
2008-01-22,31.01,
2008-01-23,29.02,
2008-01-24,27.78,
2008-01-25,29.08,0.41054
2008-01-28,27.78,
2008-01-29,27.32,
2008-01-30,27.62,
2008-01-31,26.2,
2008-02-01,24.02,0.44065
2008-02-04,25.99,
2008-02-05,28.24,
2008-02-06,28.97,
2008-02-07,27.66,
2008-02-08,28.01,0.50239
2008-02-11,27.6,
2008-02-12,26.33,
2008-02-13,24.88,
2008-02-14,25.54,
2008-02-15,25.02,0.58731
2008-02-19,25.59,
2008-02-20,24.4,
2008-02-21,25.12,
2008-02-22,24.06,0.68655
2008-02-25,23.03,
2008-02-26,21.9,
2008-02-27,22.69,
2008-02-28,23.53,
2008-02-29,26.54,0.78669
2008-03-03,26.28,
2008-03-04,25.52,
2008-03-05,24.6,
2008-03-06,27.55,
2008-03-07,27.49,0.87822
2008-03-10,29.38,
2008-03-11,26.36,
2008-03-12,27.22,
2008-03-13,27.29,
2008-03-14,31.16,0.93896
2008-03-17,32.24,
2008-03-18,25.79,
2008-03-19,29.84,
2008-03-20,26.62,
2008-03-21,,0.96261
2008-03-24,25.73,
2008-03-25,25.72,
2008-03-26,26.08,
2008-03-27,25.88,
2008-03-28,25.71,0.94089
2008-03-31,25.61,
2008-04-01,22.68,
2008-04-02,23.43,
2008-04-03,23.21,
2008-04-04,22.45,0.88677
2008-04-07,22.42,
2008-04-08,22.36,
2008-04-09,22.81,
2008-04-10,21.98,
2008-04-11,23.46,0.81216
2008-04-14,23.82,
2008-04-15,22.78,
2008-04-16,20.53,
2008-04-17,20.37,
2008-04-18,20.13,0.72945
2008-04-21,20.5,
2008-04-22,20.87,
2008-04-23,20.26,
2008-04-24,20.06,
2008-04-25,19.59,0.6438
2008-04-28,19.64,
2008-04-29,20.24,
2008-04-30,20.79,
2008-05-01,18.88,
2008-05-02,18.18,0.56882
2008-05-05,18.9,
2008-05-06,18.21,
2008-05-07,19.73,
2008-05-08,19.4,
2008-05-09,19.41,0.5145
2008-05-12,17.79,
2008-05-13,17.98,
2008-05-14,17.66,
2008-05-15,16.3,
2008-05-16,16.47,0.48213
2008-05-19,17.01,
2008-05-20,17.58,
2008-05-21,18.59,
2008-05-22,18.05,
2008-05-23,19.55,0.47732
2008-05-27,19.64,
2008-05-28,19.07,
2008-05-29,18.14,
2008-05-30,17.83,0.4987
2008-06-02,19.83,
2008-06-03,20.24,
2008-06-04,20.8,
2008-06-05,18.63,
2008-06-06,23.56,0.54476
2008-06-09,23.12,
2008-06-10,23.18,
2008-06-11,24.12,
2008-06-12,23.33,
2008-06-13,21.22,0.59904
2008-06-16,20.95,
2008-06-17,21.13,
2008-06-18,22.24,
2008-06-19,21.58,
2008-06-20,22.87,0.65603
2008-06-23,22.64,
2008-06-24,22.42,
2008-06-25,21.14,
2008-06-26,23.93,
2008-06-27,23.44,0.70887
2008-06-30,23.95,
2008-07-01,23.65,
2008-07-02,25.92,
2008-07-03,24.79,
2008-07-04,,0.74171
2008-07-07,25.78,
2008-07-08,23.15,
2008-07-09,25.23,
2008-07-10,25.59,
2008-07-11,27.49,0.75102
2008-07-14,28.48,
2008-07-15,28.54,
2008-07-16,25.1,
2008-07-17,25.01,
2008-07-18,24.05,0.74143
2008-07-21,23.05,
2008-07-22,21.18,
2008-07-23,21.31,
2008-07-24,23.44,
2008-07-25,22.91,0.713
2008-07-28,24.23,
2008-07-29,22.03,
2008-07-30,21.21,
2008-07-31,22.94,
2008-08-01,22.57,0.68198
2008-08-04,23.49,
2008-08-05,21.14,
2008-08-06,20.23,
2008-08-07,21.15,
2008-08-08,20.66,0.66587
2008-08-11,20.12,
2008-08-12,21.17,
2008-08-13,21.55,
2008-08-14,20.34,
2008-08-15,19.58,0.67264
2008-08-18,20.98,
2008-08-19,21.28,
2008-08-20,20.42,
2008-08-21,19.82,
2008-08-22,18.81,0.72748
2008-08-25,20.97,
2008-08-26,20.49,
2008-08-27,19.76,
2008-08-28,19.43,
2008-08-29,20.65,0.83431
2008-09-02,21.99,
2008-09-03,21.43,
2008-09-04,24.03,
2008-09-05,23.06,1.00084
2008-09-08,22.64,
2008-09-09,25.47,
2008-09-10,24.52,
2008-09-11,24.39,
2008-09-12,25.66,1.22126
2008-09-15,31.7,
2008-09-16,30.3,
2008-09-17,36.22,
2008-09-18,33.1,
2008-09-19,32.07,1.50567
2008-09-22,33.85,
2008-09-23,35.72,
2008-09-24,35.19,
2008-09-25,32.82,
2008-09-26,34.74,1.78729
2008-09-29,46.72,
2008-09-30,39.39,
2008-10-01,39.81,
2008-10-02,45.26,
2008-10-03,45.14,2.06804
2008-10-06,52.05,
2008-10-07,53.68,
2008-10-08,57.53,
2008-10-09,63.92,
2008-10-10,69.95,2.31896
2008-10-13,54.99,
2008-10-14,55.13,
2008-10-15,69.25,
2008-10-16,67.61,
2008-10-17,70.33,2.51239
2008-10-20,52.97,
2008-10-21,53.11,
2008-10-22,69.65,
2008-10-23,67.8,
2008-10-24,79.13,2.65104
2008-10-27,80.06,
2008-10-28,66.96,
2008-10-29,69.96,
2008-10-30,62.9,
2008-10-31,59.89,2.76914
2008-11-03,53.68,
2008-11-04,47.73,
2008-11-05,54.56,
2008-11-06,63.68,
2008-11-07,56.1,2.85944
2008-11-10,59.98,
2008-11-11,61.44,
2008-11-12,66.46,
2008-11-13,59.83,
2008-11-14,66.31,2.93911
2008-11-17,69.15,
2008-11-18,67.64,
2008-11-19,74.26,
2008-11-20,80.86,
2008-11-21,72.67,3.01666
2008-11-24,64.7,
2008-11-25,60.9,
2008-11-26,54.92,
2008-11-28,55.84,3.0444
2008-12-01,68.51,
2008-12-02,62.98,
2008-12-03,60.72,
2008-12-04,63.64,
2008-12-05,59.93,3.03865
2008-12-08,58.49,
2008-12-09,58.91,
2008-12-10,55.73,
2008-12-11,55.78,
2008-12-12,54.28,2.97422
2008-12-15,56.76,
2008-12-16,52.37,
2008-12-17,49.84,
2008-12-18,47.34,
2008-12-19,44.93,2.84911
2008-12-22,44.56,
2008-12-23,45.02,
2008-12-24,44.21,
2008-12-26,43.38,2.68876
2008-12-29,43.9,
2008-12-30,41.63,
2008-12-31,40.0,
2009-01-02,39.19,2.53604
2009-01-05,39.08,
2009-01-06,38.56,
2009-01-07,43.39,
2009-01-08,42.56,
2009-01-09,42.82,2.38415
2009-01-12,45.84,
2009-01-13,43.27,
2009-01-14,49.14,
2009-01-15,51.0,
2009-01-16,46.11,2.26167
2009-01-20,56.65,
2009-01-21,46.42,
2009-01-22,47.29,
2009-01-23,47.27,2.17295
2009-01-26,45.69,
2009-01-27,42.25,
2009-01-28,39.66,
2009-01-29,42.63,
2009-01-30,44.84,2.11436
2009-02-02,45.52,
2009-02-03,43.06,
2009-02-04,43.85,
2009-02-05,43.73,
2009-02-06,43.37,2.08489
2009-02-09,43.64,
2009-02-10,46.67,
2009-02-11,44.53,
2009-02-12,41.25,
2009-02-13,42.93,2.08649
2009-02-17,48.66,
2009-02-18,48.46,
2009-02-19,47.08,
2009-02-20,49.3,2.1044
2009-02-23,52.62,
2009-02-24,45.49,
2009-02-25,44.67,
2009-02-26,44.66,
2009-02-27,46.35,2.12186
2009-03-02,52.65,
2009-03-03,50.93,
2009-03-04,47.56,
2009-03-05,50.17,
2009-03-06,49.33,2.12707
2009-03-09,49.68,
2009-03-10,44.37,
2009-03-11,43.61,
2009-03-12,41.18,
2009-03-13,42.36,2.08985
2009-03-16,43.74,
2009-03-17,40.8,
2009-03-18,40.06,
2009-03-19,43.68,
2009-03-20,45.89,2.01712
2009-03-23,43.23,
2009-03-24,42.93,
2009-03-25,42.25,
2009-03-26,40.36,
2009-03-27,41.04,1.91154
2009-03-30,45.54,
2009-03-31,44.14,
2009-04-01,42.28,
2009-04-02,42.04,
2009-04-03,39.7,1.78698
2009-04-06,40.93,
2009-04-07,40.39,
2009-04-08,38.85,
2009-04-09,36.53,
2009-04-10,,1.6471
2009-04-13,37.81,
2009-04-14,37.67,
2009-04-15,36.17,
2009-04-16,35.79,
2009-04-17,33.94,1.50593
2009-04-20,39.18,
2009-04-21,37.14,
2009-04-22,38.1,
2009-04-23,37.15,
2009-04-24,36.82,1.3676
2009-04-27,38.32,
2009-04-28,37.95,
2009-04-29,36.08,
2009-04-30,36.5,
2009-05-01,35.3,1.2329
2009-05-04,34.53,
2009-05-05,33.36,
2009-05-06,32.45,
2009-05-07,33.44,
2009-05-08,32.05,1.109
2009-05-11,32.87,
2009-05-12,31.8,
2009-05-13,33.65,
2009-05-14,31.37,
2009-05-15,33.12,1.00756
2009-05-18,30.24,
2009-05-19,28.8,
2009-05-20,29.03,
2009-05-21,31.35,
2009-05-22,32.63,0.92324
2009-05-26,30.62,
2009-05-27,32.36,
2009-05-28,31.67,
2009-05-29,28.92,0.86389
2009-06-01,30.04,
2009-06-02,29.63,
2009-06-03,31.02,
2009-06-04,30.18,
2009-06-05,29.62,0.81668
2009-06-08,29.77,
2009-06-09,28.27,
2009-06-10,28.46,
2009-06-11,28.11,
2009-06-12,28.15,0.78113
2009-06-15,30.81,
2009-06-16,32.68,
2009-06-17,31.54,
2009-06-18,30.03,
2009-06-19,27.99,0.75134
2009-06-22,31.17,
2009-06-23,30.58,
2009-06-24,29.05,
2009-06-25,26.36,
2009-06-26,25.93,0.71479
2009-06-29,25.35,
2009-06-30,26.35,
2009-07-01,26.22,
2009-07-02,27.95,
2009-07-03,,0.66955
2009-07-06,29.0,
2009-07-07,30.85,
2009-07-08,31.3,
2009-07-09,29.78,
2009-07-10,29.02,0.61457
2009-07-13,26.31,
2009-07-14,25.02,
2009-07-15,25.89,
2009-07-16,25.42,
2009-07-17,24.34,0.5478
2009-07-20,24.4,
2009-07-21,23.87,
2009-07-22,23.47,
2009-07-23,23.43,
2009-07-24,23.09,0.47612
2009-07-27,24.28,
2009-07-28,25.01,
2009-07-29,25.61,
2009-07-30,25.4,
2009-07-31,25.92,0.40746
2009-08-03,25.56,
2009-08-04,24.89,
2009-08-05,24.9,
2009-08-06,25.67,
2009-08-07,24.76,0.3479
2009-08-10,24.99,
2009-08-11,25.99,
2009-08-12,25.45,
2009-08-13,24.71,
2009-08-14,24.27,0.29952
2009-08-17,27.89,
2009-08-18,26.18,
2009-08-19,26.26,
2009-08-20,25.09,
2009-08-21,25.01,0.25948
2009-08-24,25.14,
2009-08-25,24.92,
2009-08-26,24.95,
2009-08-27,24.68,
2009-08-28,24.76,0.22314
2009-08-31,26.01,
2009-09-01,29.15,
2009-09-02,28.9,
2009-09-03,27.1,
2009-09-04,25.26,0.19103
2009-09-08,25.62,
2009-09-09,24.32,
2009-09-10,23.55,
2009-09-11,24.15,0.1577
2009-09-14,23.86,
2009-09-15,23.42,
2009-09-16,23.69,
2009-09-17,23.65,
2009-09-18,23.92,0.12446
2009-09-21,24.06,
2009-09-22,23.08,
2009-09-23,23.49,
2009-09-24,24.95,
2009-09-25,25.61,0.09528
2009-09-28,24.88,
2009-09-29,25.19,
2009-09-30,25.61,
2009-10-01,28.27,
2009-10-02,28.68,0.07312
2009-10-05,26.84,
2009-10-06,25.7,
2009-10-07,24.68,
2009-10-08,24.18,
2009-10-09,23.12,0.05247
2009-10-12,23.01,
2009-10-13,22.99,
2009-10-14,22.86,
2009-10-15,21.72,
2009-10-16,21.43,0.03567
2009-10-19,21.49,
2009-10-20,20.9,
2009-10-21,22.22,
2009-10-22,20.69,
2009-10-23,22.27,0.0227
2009-10-26,24.31,
2009-10-27,24.83,
2009-10-28,27.91,
2009-10-29,24.76,
2009-10-30,30.69,0.01514
2009-11-02,29.78,
2009-11-03,28.81,
2009-11-04,27.72,
2009-11-05,25.43,
2009-11-06,24.19,0.00643
2009-11-09,23.15,
2009-11-10,22.84,
2009-11-11,23.04,
2009-11-12,24.24,
2009-11-13,23.36,-0.00537
2009-11-16,22.89,
2009-11-17,22.41,
2009-11-18,21.63,
2009-11-19,22.63,
2009-11-20,22.19,-0.01935
2009-11-23,21.16,
2009-11-24,20.47,
2009-11-25,20.48,
2009-11-27,24.85,-0.03807
2009-11-30,24.51,
2009-12-01,21.92,
2009-12-02,21.12,
2009-12-03,22.46,
2009-12-04,21.25,-0.06303
2009-12-07,22.1,
2009-12-08,23.69,
2009-12-09,22.66,
2009-12-10,22.32,
2009-12-11,21.59,-0.09448
2009-12-14,21.15,
2009-12-15,21.49,
2009-12-16,20.54,
2009-12-17,22.51,
2009-12-18,21.68,-0.12768
2009-12-21,20.49,
2009-12-22,19.54,
2009-12-23,19.71,
2009-12-24,19.47,
2009-12-25,,-0.15901
2009-12-28,19.93,
2009-12-29,20.01,
2009-12-30,19.96,
2009-12-31,21.68,
2010-01-01,,-0.18443
2010-01-04,20.04,
2010-01-05,19.35,
2010-01-06,19.16,
2010-01-07,19.06,
2010-01-08,18.13,-0.20482
2010-01-11,17.55,
2010-01-12,18.25,
2010-01-13,17.85,
2010-01-14,17.63,
2010-01-15,17.91,-0.21403
2010-01-19,17.58,
2010-01-20,18.68,
2010-01-21,22.27,
2010-01-22,27.31,-0.21206
2010-01-25,25.41,
2010-01-26,24.55,
2010-01-27,23.14,
2010-01-28,23.73,
2010-01-29,24.62,-0.20713
2010-02-01,22.59,
2010-02-02,21.48,
2010-02-03,21.6,
2010-02-04,26.08,
2010-02-05,26.11,-0.20269
2010-02-08,26.51,
2010-02-09,26.0,
2010-02-10,25.4,
2010-02-11,23.96,
2010-02-12,22.73,-0.20542
2010-02-16,22.25,
2010-02-17,21.72,
2010-02-18,20.63,
2010-02-19,20.02,-0.22239
2010-02-22,19.94,
2010-02-23,21.37,
2010-02-24,20.27,
2010-02-25,20.1,
2010-02-26,19.5,-0.25124
2010-03-01,19.26,
2010-03-02,19.06,
2010-03-03,18.83,
2010-03-04,18.72,
2010-03-05,17.42,-0.29132
2010-03-08,17.79,
2010-03-09,17.92,
2010-03-10,18.57,
2010-03-11,18.06,
2010-03-12,17.58,-0.33781
2010-03-15,18.0,
2010-03-16,17.69,
